Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00      641     0.00     0.00  void arma::arma_check_bounds<char [37]>(bool, char const (&) [37])
  0.00      0.00     0.00      624     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.00     0.00      624     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00      0.00     0.00      623     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.00     0.00      623     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00      0.00     0.00      604     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00      604     0.00     0.00  std::vector<sf::Vertex, std::allocator<sf::Vertex> >::end() const
  0.00      0.00     0.00      604     0.00     0.00  std::vector<sf::Vertex, std::allocator<sf::Vertex> >::begin() const
  0.00      0.00     0.00      604     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_Vector_impl::_Vector_impl(std::allocator<sf::Vertex> const&)
  0.00      0.00     0.00      576     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_Vector_impl_data const&)
  0.00      0.00     0.00      574     0.00     0.00  __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >::base() const
  0.00      0.00     0.00      536     0.00     0.00  sf::Drawable::~Drawable()
  0.00      0.00     0.00      518     0.00     0.00  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      0.00     0.00      508     0.00     0.00  sf::VertexArray::VertexArray(sf::VertexArray const&)
  0.00      0.00     0.00      508     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<sf::Vertex>, sf::Vertex>::_S_select_on_copy(std::allocator<sf::Vertex> const&)
  0.00      0.00     0.00      508     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_M_allocate(unsigned long)
  0.00      0.00     0.00      508     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_M_create_storage(unsigned long)
  0.00      0.00     0.00      508     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_Vector_base(unsigned long, std::allocator<sf::Vertex> const&)
  0.00      0.00     0.00      508     0.00     0.00  std::allocator_traits<std::allocator<sf::Vertex> >::select_on_container_copy_construction(std::allocator<sf::Vertex> const&)
  0.00      0.00     0.00      508     0.00     0.00  sf::Vertex* std::__uninitialized_copy<false>::__uninit_copy<__gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, sf::Vertex*>(__gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, __gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, sf::Vertex*)
  0.00      0.00     0.00      508     0.00     0.00  std::vector<sf::Vertex, std::allocator<sf::Vertex> >::vector(std::vector<sf::Vertex, std::allocator<sf::Vertex> > const&)
  0.00      0.00     0.00      508     0.00     0.00  sf::Vertex* std::uninitialized_copy<__gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, sf::Vertex*>(__gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, __gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, sf::Vertex*)
  0.00      0.00     0.00      508     0.00     0.00  sf::Vertex* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, sf::Vertex*, sf::Vertex>(__gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, __gnu_cxx::__normal_iterator<sf::Vertex const*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >, sf::Vertex*, std::allocator<sf::Vertex>&)
  0.00      0.00     0.00      498     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator--()
  0.00      0.00     0.00      454     0.00     0.00  std::__cxx11::basic_string<unsigned int, std::char_traits<unsigned int>, std::allocator<unsigned int> >::_M_data() const
  0.00      0.00     0.00      452     0.00     0.00  void std::_Destroy_aux<true>::__destroy<sf::Vertex*>(sf::Vertex*, sf::Vertex*)
  0.00      0.00     0.00      452     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_Vector_impl::~_Vector_impl()
  0.00      0.00     0.00      452     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::_M_deallocate(sf::Vertex*, unsigned long)
  0.00      0.00     0.00      452     0.00     0.00  std::_Vector_base<sf::Vertex, std::allocator<sf::Vertex> >::~_Vector_base()
  0.00      0.00     0.00      452     0.00     0.00  std::vector<sf::Vertex, std::allocator<sf::Vertex> >::~vector()
  0.00      0.00     0.00      452     0.00     0.00  void std::_Destroy<sf::Vertex*>(sf::Vertex*, sf::Vertex*)
  0.00      0.00     0.00      452     0.00     0.00  void std::_Destroy<sf::Vertex*, sf::Vertex>(sf::Vertex*, sf::Vertex*, std::allocator<sf::Vertex>&)
  0.00      0.00     0.00      356     0.00     0.00  sf::VertexArray::~VertexArray()
  0.00      0.00     0.00      340     0.00     0.00  bool arma::diskio::convert_token<double>(double&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00      288     0.00     0.00  sf::Drawable::operator=(sf::Drawable const&)
  0.00      0.00     0.00      288     0.00     0.00  __gnu_cxx::__normal_iterator<sf::Vertex*, std::vector<sf::Vertex, std::allocator<sf::Vertex> > >::__normal_iterator(sf::Vertex* const&)
  0.00      0.00     0.00      287     0.00     0.00  bool __gnu_cxx::operator!=<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > >(__gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&, __gnu_cxx::__normal_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const*, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > > const&)
  0.00      0.00     0.00      259     0.00     0.00  void boost::algorithm::trim_left_if<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, boost::algorithm::detail::is_classifiedF>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, boost::algorithm::detail::is_classifiedF)
